"","event","tournament","gender","pts","division","win","judge_gender","round","year"
"1","PF","silver",0,28,"V",0,NA,"prelim",2016
"2","PF","silver",0,27,"N",1,NA,"prelim",2016
"3","PF","silver",1,27,"JV",1,NA,"prelim",2016
"4","PF","sweet",0,27,"N",0,0,"prelim",2019
"5","PF","silver",1,28,"JV",1,0,"prelim",2018
"6","PF","harrisburg",1,29,"V",0,0,"prelim",2020
"7","PF","cfc",1,26,"V",0,0,"prelim",2018
"8","PF","silver",1,28,"V",1,0,"prelim",2018
"9","PF","sweet",0,30,"N",1,0,"prelim",2018
"10","PF","mcgov",1,27,"JV",0,0,"prelim",2021
"11","PF","mcgov",1,30,"N",1,0,"prelim",2018
"12","PF","harrisburg",0,27,"V",0,0,"prelim",2022
"13","PF","gec",1,30,"V",1,0,"prelim",2020
"14","PF","gec",1,27,"V",0,0,"prelim",2020
"15","PF","mcgov",1,28,"N",1,0,"prelim",2018
"16","PF","yankton",0,28,"V",0,0,"prelim",2022
"17","PF","sweet",1,27,"N",0,0,"prelim",2018
"18","PF","silver",0,27,"JV",0,0,"prelim",2018
"19","PF","sweet",1,28,"N",0,0,"prelim",2019
"20","PF","yankton",0,28,"V",0,0,"prelim",2022
"21","PF","mcgov",1,28,"V",0,0,"prelim",2019
"22","PF","yankton",1,28,"N",0,0,"prelim",2020
"23","PF","sweet",1,28,"N",1,0,"prelim",2019
"24","PF","mcgov",1,29,"JV",0,0,"prelim",2018
"25","PF","cfc",0,26,"V",1,0,"prelim",2018
"26","PF","mcgov",1,28,"N",1,0,"prelim",2018
"27","PF","sweet",0,28,"N",0,0,"prelim",2018
"28","PF","mcgov",1,29,"N",1,0,"prelim",2021
"29","PF","mcgov",1,27,"JV",1,0,"prelim",2019
"30","PF","cfc",0,26,"V",0,0,"prelim",2018
"31","PF","harrisburg",0,29,"V",0,0,"prelim",2022
"32","PF","harrisburg",0,29,"V",1,0,"prelim",2022
"33","PF","harrisburg",1,27,"JV",0,0,"prelim",2022
"34","PF","cfc",0,29,"V",1,0,"prelim",2018
"35","PF","mcgov",0,27,"JV",0,0,"prelim",2019
"36","PF","gec",0,29,"V",1,0,"prelim",2020
"37","PF","silver",1,27,"V",0,0,"prelim",2018
"38","PF","silver",0,28,"N",0,0,"prelim",2020
"39","PF","mcgov",1,30,"JV",1,0,"prelim",2018
"40","PF","harrisburg",1,28,"V",0,0,"prelim",2020
"41","PF","mcgov",0,28,"V",0,0,"prelim",2021
"42","PF","sweet",1,29,"N",1,0,"prelim",2018
"43","PF","sweet",0,27,"N",0,0,"prelim",2018
"44","PF","novice",1,30,"N",1,1,"prelim",2020
"45","PF","cfc",0,29,"V",1,0,"prelim",2017
"46","PF","sweet",0,28.5,"V",1,0,"prelim",2016
"47","PF","cfc",1,27,"N",1,0,"prelim",2015
"48","PF","sweet",0,26,"V",0,0,"prelim",2016
"49","PF","cfc",0,28,"V",1,0,"prelim",2017
"50","PF","harrisburg",1,27,"V",0,0,"prelim",2017
"51","PF","harrisburg",1,28,"V",0,0,"prelim",2016
"52","PF","cfc",0,26,"V",1,0,"prelim",2017
"53","PF","cfc",0,28,"V",0,0,"prelim",2017
"54","PF","sweet",1,27.5,"V",1,0,"prelim",2016
"55","PF","cfc",0,28,"V",0,0,"prelim",2016
"56","PF","cfc",1,30,"V",1,0,"prelim",2015
"57","PF","cfc",1,24,"N",0,0,"prelim",2016
"58","PF","bell",1,26,"JV",0,0,"prelim",2015
"59","PF","harrisburg",0,22,"N",0,0,"prelim",2016
"60","PF","harrisburg",0,30,"V",1,0,"prelim",2017
"61","PF","harrisburg",0,30,"V",1,0,"prelim",2017
"62","PF","cfc",1,27,"N",1,0,"prelim",2016
"63","PF","cfc",1,28,"N",1,0,"prelim",2015
"64","PF","cfc",NA,21,"N",0,0,"prelim",2017
"65","PF","sweet",0,26,"V",1,0,"prelim",2016
"66","PF","harrisburg",0,26,"V",0,0,"prelim",2016
"67","PF","cfc",0,25,"N",0,0,"prelim",2015
"68","PF","cfc",0,26,"N",1,0,"prelim",2016
"69","PF","cfc",1,22,"N",0,0,"prelim",2016
"70","PF","harrisburg",1,29,"N",1,0,"prelim",2017
"71","PF","novice",1,24,"N",0,1,"prelim",2019
