,tournament,year,participants,event,event_name
uzvntuig,2022 SDHSAA STATE DEBATE INDIVIDUAL EVENTS CHAMPIONSHIP,"2022 — Harrisburg, SD/US",8,LD,A-Lincoln Douglas
qlwiannl,2022 SDHSAA STATE DEBATE INDIVIDUAL EVENTS CHAMPIONSHIP,"2022 — Harrisburg, SD/US",17,LD,AA-Lincoln Douglas
sqkchqcb,2022 SDHSAA STATE DEBATE INDIVIDUAL EVENTS CHAMPIONSHIP,"2022 — Harrisburg, SD/US",14,PF,A-Public Forum
wwuolwva,2022 SDHSAA STATE DEBATE INDIVIDUAL EVENTS CHAMPIONSHIP,"2022 — Harrisburg, SD/US",23,PF,AA-Public Forum
mqdmuxox,NORTHERN SOUTH DAKOTA DISTRICT TOURNAMENT,2022 — SD/US,9,LD,Lincoln Douglas
ethfpjnj,NORTHERN SOUTH DAKOTA DISTRICT TOURNAMENT,2022 — SD/US,13,PF,Public Forum
vtnrjjvl,RUSHMORE DISTRICT TOURNAMENT,2022 — SD/US,15,LD,Lincoln Douglas
rmzobijm,RUSHMORE DISTRICT TOURNAMENT,2022 — SD/US,32,PF,Public Forum
schwterr,THE RUSHMORE CHALLENGE,"2022 — Harrisburg, SD/US",10,LD,Junior Varsity Lincoln Douglas Debate
pusgtbtq,THE RUSHMORE CHALLENGE,"2022 — Harrisburg, SD/US",23,LD,Varsity Lincoln Douglas Debate
sdtkrwnu,THE RUSHMORE CHALLENGE,"2022 — Harrisburg, SD/US",24,PF,Junior Varsity Public Forum Debate
gtajlapo,THE RUSHMORE CHALLENGE,"2022 — Harrisburg, SD/US",29,PF,Varsity Public Forum Debate
stackfwc,LEWIS AND CLARK INVITATIONAL,"2022 — Yankton, SD/US",14,LD,Novice Lincoln Douglas
fyrperbb,LEWIS AND CLARK INVITATIONAL,"2022 — Yankton, SD/US",19,LD,Varsity Lincoln Douglas
mnicfnbd,LEWIS AND CLARK INVITATIONAL,"2022 — Yankton, SD/US",15,PF,Novice Public Forum
ulclblky,LEWIS AND CLARK INVITATIONAL,"2022 — Yankton, SD/US",26,PF,Varsity Public Forum
fduvihzh,SPEECH FIESTA,"2022 — Watertown, SD/US",8,LD,Novice Lincoln-Douglas
uqlwlacs,SPEECH FIESTA,"2022 — Watertown, SD/US",11,LD,Varsity Lincoln-Douglas
zhcaxueb,SPEECH FIESTA,"2022 — Watertown, SD/US",5,PF,JV Public Forum
qjcopwud,SPEECH FIESTA,"2022 — Watertown, SD/US",11,PF,Novice Public Forum
uphoswqf,SPEECH FIESTA,"2022 — Watertown, SD/US",14,PF,Varsity Public Forum
npnuumbo,LINCOLN SILVER BOWL,"2022 — NSDA Campus, SD/US",8,LD,Novice LD
idbhidtf,LINCOLN SILVER BOWL,"2022 — NSDA Campus, SD/US",14,LD,Varsity LD
akjwnwrp,LINCOLN SILVER BOWL,"2022 — NSDA Campus, SD/US",10,PF,Novice Public Forum
xgcedusj,LINCOLN SILVER BOWL,"2022 — NSDA Campus, SD/US",15,PF,Varsity Public Forum
rnguauoe,CFC 2,"2022 — Lennox, SD/US",6,LD,Novice Lincoln-Douglas
svlyvdfq,CFC 2,"2022 — Lennox, SD/US",6,LD,Varsity Lincoln-Douglas
achomunx,CFC 2,"2022 — Lennox, SD/US",9,PF,Novice Public Forum
anwyamfl,CFC 2,"2022 — Lennox, SD/US",6,PF,Varsity Public Forum
doczflmq,BROOKINGS BELL,"2021 — Brookings, SD/US",16,LD,Novice LD
wsdexvad,BROOKINGS BELL,"2021 — Brookings, SD/US",19,LD,Varsity LD
asipqbql,BROOKINGS BELL,"2021 — Brookings, SD/US",15,PF,JV Public Forum
igqsynyt,BROOKINGS BELL,"2021 — Brookings, SD/US",22,PF,Novice Public Forum
ntgktcom,BROOKINGS BELL,"2021 — Brookings, SD/US",15,PF,Varsity Public Forum
ridbamrx,ABERDEEN NOVICE ONLINE 2,"2021 — Online, SD/US",6,LD,Novice Lincoln Douglas
yadklkcz,ABERDEEN NOVICE ONLINE 2,"2021 — Online, SD/US",28,PF,Novice Public Forum
zttpkhix,CAVALIER INVITE,"2021 — Sioux Falls, SD/US",9,LD,Novice Lincoln-Douglas
oolprrsm,CAVALIER INVITE,"2021 — Sioux Falls, SD/US",7,LD,Varsity Lincoln-Douglas
itgljjze,CAVALIER INVITE,"2021 — Sioux Falls, SD/US",13,PF,Novice Public Forum
dmrxkypl,CAVALIER INVITE,"2021 — Sioux Falls, SD/US",12,PF,Varsity Public Forum
wzveznma,OG NOVICE JOUST,"2021 — Sioux Falls, SD/US",10,LD,Lincoln-Douglas
afejervj,OG NOVICE JOUST,"2021 — Sioux Falls, SD/US",20,PF,Public Forum
jkmhvvjz,MCGOVERN TOURNAMENT,"2021 — Mitchell, SD, SD/US",7,LD,Novice Lincoln-Douglas
