"","...1","tournament","year","participants","event","event_name","division"
"1","uzvntuig","state",2022,8,"LD","A-Lincoln Douglas","V"
"2","qlwiannl","state",2022,17,"LD","AA-Lincoln Douglas","V"
"3","sqkchqcb","state",2022,14,"PF","A-Public Forum","V"
"4","wwuolwva","state",2022,23,"PF","AA-Public Forum","V"
"5","mqdmuxox","northern",2022,9,"LD","Lincoln Douglas","V"
"6","ethfpjnj","northern",2022,13,"PF","Public Forum","V"
"7","vtnrjjvl","rushmore",2022,15,"LD","Lincoln Douglas","V"
"8","rmzobijm","rushmore",2022,32,"PF","Public Forum","V"
"9","schwterr","harrisburg",2022,10,"LD","Junior Varsity Lincoln Douglas Debate","JV"
"10","pusgtbtq","harrisburg",2022,23,"LD","Varsity Lincoln Douglas Debate","V"
"11","sdtkrwnu","harrisburg",2022,24,"PF","Junior Varsity Public Forum Debate","JV"
"12","gtajlapo","harrisburg",2022,29,"PF","Varsity Public Forum Debate","V"
"13","stackfwc","yankton",2022,14,"LD","Novice Lincoln Douglas","N"
"14","fyrperbb","yankton",2022,19,"LD","Varsity Lincoln Douglas","V"
"15","mnicfnbd","yankton",2022,15,"PF","Novice Public Forum","N"
"16","ulclblky","yankton",2022,26,"PF","Varsity Public Forum","V"
"17","fduvihzh","fiesta",2022,8,"LD","Novice Lincoln-Douglas","N"
"18","uqlwlacs","fiesta",2022,11,"LD","Varsity Lincoln-Douglas","V"
"19","zhcaxueb","fiesta",2022,5,"PF","JV Public Forum","JV"
"20","qjcopwud","fiesta",2022,11,"PF","Novice Public Forum","N"
"21","uphoswqf","fiesta",2022,14,"PF","Varsity Public Forum","V"
"22","npnuumbo","silver",2022,8,"LD","Novice LD","N"
"23","idbhidtf","silver",2022,14,"LD","Varsity LD","V"
"24","akjwnwrp","silver",2022,10,"PF","Novice Public Forum","N"
"25","xgcedusj","silver",2022,15,"PF","Varsity Public Forum","V"
"26","rnguauoe","cfc",2022,6,"LD","Novice Lincoln-Douglas","N"
"27","svlyvdfq","cfc",2022,6,"LD","Varsity Lincoln-Douglas","V"
"28","achomunx","cfc",2022,9,"PF","Novice Public Forum","N"
"29","anwyamfl","cfc",2022,6,"PF","Varsity Public Forum","V"
"30","doczflmq","bell",2021,16,"LD","Novice LD","N"
"31","wsdexvad","bell",2021,19,"LD","Varsity LD","V"
"32","asipqbql","bell",2021,15,"PF","JV Public Forum","JV"
"33","igqsynyt","bell",2021,22,"PF","Novice Public Forum","N"
"34","ntgktcom","bell",2021,15,"PF","Varsity Public Forum","V"
"35","ridbamrx","novice",2021,6,"LD","Novice Lincoln Douglas","N"
"36","yadklkcz","novice",2021,28,"PF","Novice Public Forum","N"
"37","zttpkhix","jeff",2021,9,"LD","Novice Lincoln-Douglas","N"
"38","oolprrsm","jeff",2021,7,"LD","Varsity Lincoln-Douglas","V"
"39","itgljjze","jeff",2021,13,"PF","Novice Public Forum","N"
"40","dmrxkypl","jeff",2021,12,"PF","Varsity Public Forum","V"
"41","wzveznma","novice",2021,10,"LD","Lincoln-Douglas","N"
"42","afejervj","novice",2021,20,"PF","Public Forum","N"
"43","jkmhvvjz","mcgov",2021,7,"LD","Novice Lincoln-Douglas","N"
"44","dlxmzcqn","mcgov",2021,13,"LD","Varsity Lincoln-Douglas","V"
"45","qschphwm","mcgov",2021,10,"PF","Junior Varsity Public Forum","JV"
"46","uimwiroy","mcgov",2021,34,"PF","Novice Public Forum","N"
"47","ttpdnfim","mcgov",2021,14,"PF","Varsity Public Forum","V"
"48","pflisiha","novice",2021,5,"LD","Lincoln-Douglas","N"
